,blues,classical,country,jazz,pop,rock,techno
1172,1,0,0,0,0,0,0
1167,1,0,0,0,0,0,0
1140,1,0,0,0,0,0,0
1149,1,0,0,0,0,0,0
1463,1,0,0,0,0,0,0
1185,1,0,0,0,0,0,0
1453,1,0,0,0,0,0,0
1137,1,0,0,0,0,0,0
1156,1,0,0,0,0,0,0
1459,1,0,0,0,0,0,0
1207,0,1,0,0,0,0,0
90,0,1,0,0,0,0,0
650,0,1,0,0,0,0,0
2185,0,1,0,0,0,0,0
2959,0,1,0,0,0,0,0
1300,0,1,0,0,0,0,0
683,0,1,0,0,0,0,0
1105,0,1,0,0,0,0,0
69,0,1,0,0,0,0,0
652,0,1,0,0,0,0,0
2144,0,1,0,0,0,0,0
649,0,1,0,0,0,0,0
474,0,1,0,0,0,0,0
1297,0,1,0,0,0,0,0
1868,0,1,0,0,0,0,0
2925,0,1,0,0,0,0,0
2112,0,1,0,0,0,0,0
2079,0,1,0,0,0,0,0
2108,0,1,0,0,0,0,0
2200,0,1,0,0,0,0,0
2320,0,1,0,0,0,0,0
1543,0,1,0,0,0,0,0
1093,0,1,0,0,0,0,0
1329,0,1,0,0,0,0,0
2922,0,1,0,0,0,0,0
164,0,1,0,0,0,0,0
33,0,1,0,0,0,0,0
886,0,1,0,0,0,0,0
95,0,1,0,0,0,0,0
1865,0,1,0,0,0,0,0
1490,0,1,0,0,0,0,0
2169,0,1,0,0,0,0,0
76,0,1,0,0,0,0,0
478,0,1,0,0,0,0,0
1705,0,1,0,0,0,0,0
86,0,1,0,0,0,0,0
868,0,1,0,0,0,0,0
1348,0,1,0,0,0,0,0
2172,0,1,0,0,0,0,0
1555,0,1,0,0,0,0,0
1109,0,1,0,0,0,0,0
1552,0,1,0,0,0,0,0
651,0,1,0,0,0,0,0
1486,0,1,0,0,0,0,0
1660,0,1,0,0,0,0,0
1276,0,1,0,0,0,0,0
1432,0,1,0,0,0,0,0
469,0,1,0,0,0,0,0
2344,0,1,0,0,0,0,0
732,0,1,0,0,0,0,0
637,0,1,0,0,0,0,0
2434,0,1,0,0,0,0,0
434,0,1,0,0,0,0,0
1413,0,1,0,0,0,0,0
664,0,1,0,0,0,0,0
2158,0,1,0,0,0,0,0
2125,0,1,0,0,0,0,0
2432,0,1,0,0,0,0,0
2949,0,1,0,0,0,0,0
433,0,1,0,0,0,0,0
750,0,1,0,0,0,0,0
2963,0,1,0,0,0,0,0
548,0,1,0,0,0,0,0
544,0,1,0,0,0,0,0
38,0,1,0,0,0,0,0
1321,0,1,0,0,0,0,0
2174,0,1,0,0,0,0,0
172,0,1,0,0,0,0,0
1357,0,1,0,0,0,0,0
2100,0,1,0,0,0,0,0
2948,0,1,0,0,0,0,0
2339,0,1,0,0,0,0,0
1220,0,1,0,0,0,0,0
646,0,1,0,0,0,0,0
420,0,1,0,0,0,0,0
2867,0,1,0,0,0,0,0
2213,0,1,0,0,0,0,0
374,0,1,0,0,0,0,0
1553,0,1,0,0,0,0,0
1869,0,1,0,0,0,0,0
1725,0,1,0,0,0,0,0
2104,0,1,0,0,0,0,0
2926,0,1,0,0,0,0,0
1056,0,1,0,0,0,0,0
465,0,1,0,0,0,0,0
2337,0,1,0,0,0,0,0
1560,0,1,0,0,0,0,0
1050,0,1,0,0,0,0,0
2276,0,1,0,0,0,0,0
1366,0,1,0,0,0,0,0
1730,0,1,0,0,0,0,0
1226,0,1,0,0,0,0,0
456,0,1,0,0,0,0,0
1305,0,1,0,0,0,0,0
1706,0,1,0,0,0,0,0
59,0,1,0,0,0,0,0
1401,0,1,0,0,0,0,0
471,0,1,0,0,0,0,0
2266,0,1,0,0,0,0,0
772,0,1,0,0,0,0,0
1683,0,1,0,0,0,0,0
470,0,1,0,0,0,0,0
756,0,1,0,0,0,0,0
2202,0,1,0,0,0,0,0
1277,0,1,0,0,0,0,0
2298,0,1,0,0,0,0,0
84,0,1,0,0,0,0,0
1270,0,1,0,0,0,0,0
1194,0,1,0,0,0,0,0
720,0,1,0,0,0,0,0
624,0,1,0,0,0,0,0
1556,0,1,0,0,0,0,0
1057,0,1,0,0,0,0,0
62,0,1,0,0,0,0,0
1311,0,1,0,0,0,0,0
860,0,1,0,0,0,0,0
2133,0,1,0,0,0,0,0
1072,0,1,0,0,0,0,0
1359,0,1,0,0,0,0,0
1361,0,1,0,0,0,0,0
2662,0,1,0,0,0,0,0
1351,0,1,0,0,0,0,0
2208,0,1,0,0,0,0,0
643,0,1,0,0,0,0,0
2179,0,1,0,0,0,0,0
81,0,1,0,0,0,0,0
1362,0,1,0,0,0,0,0
1819,0,1,0,0,0,0,0
1682,0,1,0,0,0,0,0
43,0,1,0,0,0,0,0
27,0,1,0,0,0,0,0
1345,0,1,0,0,0,0,0
1286,0,1,0,0,0,0,0
771,0,1,0,0,0,0,0
2129,0,1,0,0,0,0,0
1867,0,1,0,0,0,0,0
1544,0,1,0,0,0,0,0
1027,0,1,0,0,0,0,0
429,0,1,0,0,0,0,0
2151,0,1,0,0,0,0,0
2447,0,1,0,0,0,0,0
1206,0,1,0,0,0,0,0
655,0,1,0,0,0,0,0
1870,0,1,0,0,0,0,0
113,0,1,0,0,0,0,0
2940,0,1,0,0,0,0,0
2176,0,1,0,0,0,0,0
2135,0,1,0,0,0,0,0
100,0,1,0,0,0,0,0
1065,0,1,0,0,0,0,0
1098,0,1,0,0,0,0,0
863,0,1,0,0,0,0,0
2173,0,1,0,0,0,0,0
2136,0,1,0,0,0,0,0
1031,0,1,0,0,0,0,0
2454,0,1,0,0,0,0,0
645,0,1,0,0,0,0,0
1197,0,1,0,0,0,0,0
1412,0,1,0,0,0,0,0
1820,0,1,0,0,0,0,0
168,0,1,0,0,0,0,0
2673,0,1,0,0,0,0,0
729,0,1,0,0,0,0,0
2343,0,1,0,0,0,0,0
1550,0,1,0,0,0,0,0
758,0,1,0,0,0,0,0
1659,0,1,0,0,0,0,0
1994,0,1,0,0,0,0,0
1019,0,1,0,0,0,0,0
1417,0,1,0,0,0,0,0
1045,0,1,0,0,0,0,0
618,0,1,0,0,0,0,0
1687,0,1,0,0,0,0,0
1308,0,1,0,0,0,0,0
2348,0,1,0,0,0,0,0
2931,0,1,0,0,0,0,0
1063,0,1,0,0,0,0,0
1858,0,1,0,0,0,0,0
96,0,1,0,0,0,0,0
2116,0,1,0,0,0,0,0
1406,0,1,0,0,0,0,0
2277,0,1,0,0,0,0,0
1420,0,1,0,0,0,0,0
1040,0,1,0,0,0,0,0
56,0,1,0,0,0,0,0
1562,0,1,0,0,0,0,0
2257,0,1,0,0,0,0,0
2163,0,1,0,0,0,0,0
46,0,1,0,0,0,0,0
1893,0,1,0,0,0,0,0
1252,0,1,0,0,0,0,0
447,0,1,0,0,0,0,0
1822,0,1,0,0,0,0,0
