,clip_id,mp3_path,track_number,title,artist,album,url,segmentStart,segmentEnd,original_url
1172,55772,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/3/jag-four_strings-19-helena_street_corner_blues-30-59.mp3,19,Helena Street Corner Blues,Jag,Four Strings,http://www.magnatune.com/artists/albums/jag-four/,30,59,http://he3.magnatune.com/all/19-Helena%20Street%20Corner%20Blues-Jag.mp3
1167,52328,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/3/jag-four_strings-14-youre_cheatin_on_me-88-117.mp3,14,You're Cheatin' On Me,Jag,Four Strings,http://www.magnatune.com/artists/albums/jag-four/,88,117,http://he3.magnatune.com/all/14-You're%20Cheatin'%20On%20Me-Jag.mp3
1140,32957,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/7/jag-cypress_grove_blues-07-reckless_woman_blues-117-146.mp3,7,Reckless Woman Blues,Jag,Cypress Grove Blues,http://www.magnatune.com/artists/albums/jag-cypress/,117,146,http://he3.magnatune.com/all/07-Reckless%20Woman%20Blues-Jag.mp3
1149,53525,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/7/jag-cypress_grove_blues-16-baby_dont_say_that-88-117.mp3,16,Baby Don't Say That,Jag,Cypress Grove Blues,http://www.magnatune.com/artists/albums/jag-cypress/,88,117,http://he3.magnatune.com/all/16-Baby%20Don't%20Say%20That-Jag.mp3
1463,54355,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/6/john_williams-dusty_porch-17-dog_leg-88-117.mp3,17,Dog Leg,John Williams,Dusty Porch,http://www.magnatune.com/artists/albums/williams-dusty/,88,117,http://he3.magnatune.com/all/17-Dog%20Leg-John%20Williams.mp3
1185,26184,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/0/jag-juke_joint_boogie-06-boogie_in_e-0-29.mp3,6,Boogie In E,Jag,Juke Joint Boogie,http://www.magnatune.com/artists/albums/jag-juke/,0,29,http://he3.magnatune.com/all/06-Boogie%20In%20E-Jag.mp3
1453,28301,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/6/john_williams-dusty_porch-06-old_man_rocking_chair-59-88.mp3,6,Old Man Rocking Chair,John Williams,Dusty Porch,http://www.magnatune.com/artists/albums/williams-dusty/,59,88,http://he3.magnatune.com/all/06-Old%20Man%20Rocking%20Chair-John%20Williams.mp3
1137,17903,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/7/jag-cypress_grove_blues-04-guitar_rag-175-204.mp3,4,Guitar Rag,Jag,Cypress Grove Blues,http://www.magnatune.com/artists/albums/jag-cypress/,175,204,http://he3.magnatune.com/all/04-Guitar%20Rag-Jag.mp3
1156,11455,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/3/jag-four_strings-03-all_worn_out-30-59.mp3,3,All Worn Out,Jag,Four Strings,http://www.magnatune.com/artists/albums/jag-four/,30,59,http://he3.magnatune.com/all/03-All%20Worn%20Out-Jag.mp3
1459,47799,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/6/john_williams-dusty_porch-12-country_kitchen-0-29.mp3,12,Country Kitchen,John Williams,Dusty Porch,http://www.magnatune.com/artists/albums/williams-dusty/,0,29,http://he3.magnatune.com/all/12-Country%20Kitchen-John%20Williams.mp3
