,drum,male,female,flute,guitar,harpsichord,piano,string,synth,violin
0,0,0,0,0,0,0,0,0,1,0
5,1,0,0,0,0,0,0,0,1,0
7,0,0,0,0,0,0,0,0,0,1
14,0,0,1,1,0,0,0,1,0,1
17,0,1,0,0,0,0,0,1,0,1
18,0,1,0,0,0,0,0,0,0,0
20,0,1,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,1,0,1
26,0,0,1,0,0,0,0,0,0,0
27,0,0,1,0,0,0,0,0,0,0
30,0,0,1,0,0,0,0,0,0,0
31,0,1,0,0,0,0,0,1,0,0
35,0,0,1,0,0,0,0,0,0,0
38,0,0,0,1,0,0,0,1,0,1
41,1,0,0,0,0,0,0,0,0,0
44,0,1,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,1,0,1
48,0,0,0,0,0,1,0,0,0,0
50,0,0,0,0,0,1,0,0,0,0
51,0,0,1,0,0,0,0,0,0,0
53,0,0,1,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,1,0,1
56,0,0,1,0,0,0,0,1,0,0
57,0,0,0,0,0,0,0,1,0,1
58,0,0,1,0,0,0,0,0,0,0
59,0,0,1,0,0,0,0,0,0,0
60,0,0,1,0,0,0,0,0,0,0
62,0,0,1,0,0,0,0,0,0,0
65,0,1,0,0,0,0,0,0,0,0
66,0,1,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,1
70,0,0,0,0,0,0,0,0,0,1
71,0,0,0,0,0,0,0,1,0,1
73,0,0,1,0,0,0,0,1,0,0
74,0,0,0,0,0,0,0,1,0,0
75,0,0,0,0,0,0,0,0,0,1
79,0,1,0,0,0,0,0,1,0,1
80,0,0,0,1,0,0,0,1,0,1
81,0,0,0,0,0,0,0,1,0,1
82,0,0,0,1,0,0,0,0,0,0
83,0,0,0,1,0,0,0,0,0,1
84,0,0,0,0,0,0,0,1,0,1
85,0,0,0,1,0,0,0,1,0,1
86,0,0,0,1,0,0,0,1,0,0
87,0,0,0,0,0,0,0,1,0,1
89,0,0,0,1,0,0,0,1,0,0
90,0,0,0,1,0,0,0,1,0,0
91,0,0,0,1,0,0,0,1,0,1
92,0,0,0,0,0,0,0,1,0,1
93,0,0,0,1,0,0,0,1,0,1
95,0,0,0,0,0,0,0,1,0,1
96,0,0,0,1,0,0,0,0,0,0
100,0,0,0,1,0,0,0,1,0,1
101,0,0,0,0,0,0,0,1,0,1
106,0,0,1,0,0,0,1,0,0,0
110,0,0,0,0,0,0,0,0,1,0
111,1,0,1,0,0,0,0,0,1,0
112,1,0,1,0,0,0,0,0,0,0
117,0,0,0,0,0,0,0,0,1,0
120,0,0,0,0,0,0,0,0,1,0
129,0,0,0,0,0,0,0,1,0,0
132,0,1,0,0,0,0,0,0,0,0
136,0,0,0,1,0,0,0,0,0,0
141,1,0,0,0,0,0,0,0,0,0
145,0,0,1,0,0,0,0,0,0,0
147,0,0,1,0,0,0,0,0,0,0
149,0,0,1,0,0,0,0,0,0,0
152,0,0,1,0,0,0,0,0,0,0
153,0,1,0,0,0,0,0,0,0,0
154,0,1,0,0,0,0,0,0,0,0
156,0,1,0,0,1,0,0,0,0,0
158,1,0,0,0,0,0,0,0,0,0
162,0,0,1,0,0,0,0,0,0,0
163,0,0,1,0,0,0,0,0,0,0
168,0,0,1,0,0,0,0,0,0,0
174,0,0,0,0,1,0,0,1,0,0
176,0,0,0,0,1,0,1,0,0,0
182,0,1,0,0,0,0,0,0,0,0
189,0,0,1,0,0,0,0,0,0,0
193,0,0,1,0,0,0,1,0,0,0
195,0,0,0,0,1,0,0,0,0,0
197,1,0,0,0,0,0,0,0,0,0
200,1,0,0,0,0,0,0,0,0,0
201,1,0,0,0,0,0,0,0,0,0
209,0,0,0,0,0,0,1,0,0,0
210,1,0,0,0,0,0,0,0,0,0
213,0,0,1,0,0,0,0,0,0,0
217,0,0,0,0,0,0,1,0,0,0
219,1,0,0,0,0,0,0,0,0,0
220,1,0,1,0,0,0,0,0,0,0
226,0,0,1,0,0,0,0,0,0,0
228,0,0,1,0,0,0,0,0,0,0
232,0,0,1,0,0,0,0,0,0,0
235,1,0,1,0,0,0,0,0,0,0
243,0,0,0,0,0,0,0,0,1,0
244,0,0,0,0,0,0,0,0,1,0
245,0,0,0,0,0,0,0,0,1,0
246,0,0,0,0,0,0,0,0,1,0
247,0,0,0,0,0,0,0,0,1,0
253,1,0,0,0,0,0,0,0,0,0
254,1,1,0,0,0,0,0,0,0,0
258,1,0,0,0,0,0,0,0,1,0
260,1,0,0,0,0,0,0,0,1,0
262,1,0,0,0,0,0,0,0,1,0
263,1,0,0,0,0,0,0,0,0,0
271,0,0,0,0,0,0,0,0,1,0
272,1,0,0,0,0,0,0,0,0,0
277,0,1,0,0,1,0,0,0,0,0
278,0,0,0,0,1,0,0,0,0,0
281,0,1,0,0,0,0,0,0,0,0
282,0,1,0,0,0,0,0,0,0,0
283,0,1,0,0,1,0,0,0,0,0
287,0,1,0,0,1,0,0,0,0,0
289,1,1,0,0,1,0,0,0,0,0
290,0,1,0,0,0,0,0,0,0,0
294,1,1,0,0,1,0,0,0,0,0
