,clip_id,mp3_path,track_number,title,artist,album,url,segmentStart,segmentEnd,original_url
14,38391,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/0/american_bach_soloists-j_s__bach__cantatas_volume_v-09-weinen_klagen_sorgen_zagen_bwv_12_iv_aria__kreuz_und_krone_sind_verbunden-59-88.mp3,9,-Weinen Klagen Sorgen Zagen BWV 12_ IV Aria - Kreuz und Krone sind verbunden-,American Bach Soloists,J.S. Bach - Cantatas Volume V,http://www.magnatune.com/artists/albums/abs-cantatasfive/,59,88,http://he3.magnatune.com/all/09--Weinen%20Klagen%20Sorgen%20Zagen%20BWV%2012_%20IV%20Aria%20-%20Kreuz%20und%20Krone%20sind%20verbunden--ABS.mp3
20,53426,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/0/american_bach_soloists-j_s__bach__cantatas_volume_v-16-nun_komm_der_heiden_heiland_bwv_61_iv_recitative__siehe_ich_stehe_vor_der_tur-30-59.mp3,16,-Nun komm der Heiden Heiland BWV 61_ IV Recitative - Siehe ich stehe vor der Tur-,American Bach Soloists,J.S. Bach - Cantatas Volume V,http://www.magnatune.com/artists/albums/abs-cantatasfive/,30,59,http://he3.magnatune.com/all/16--Nun%20komm%20der%20Heiden%20Heiland%20BWV%2061_%20IV%20Recitative%20-%20Siehe%20ich%20stehe%20vor%20der%20Tur--ABS.mp3
38,26979,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/7/american_bach_soloists-j_s__bach__mass_in_b_minor_cd2-06-et_resurrexit-204-233.mp3,6,Et resurrexit,American Bach Soloists,J.S. Bach - Mass in B Minor CD2,http://www.magnatune.com/artists/albums/abs-bachmasscd2/,204,233,http://he3.magnatune.com/all/06-Et%20resurrexit-ABS.mp3
44,47681,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/7/american_bach_soloists-j_s__bach__mass_in_b_minor_cd2-12-benedictus-204-233.mp3,12,Benedictus,American Bach Soloists,J.S. Bach - Mass in B Minor CD2,http://www.magnatune.com/artists/albums/abs-bachmasscd2/,204,233,http://he3.magnatune.com/all/12-Benedictus-ABS.mp3
46,51091,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/7/american_bach_soloists-j_s__bach__mass_in_b_minor_cd2-14-agnus_dei-0-29.mp3,14,Agnus Dei,American Bach Soloists,J.S. Bach - Mass in B Minor CD2,http://www.magnatune.com/artists/albums/abs-bachmasscd2/,0,29,http://he3.magnatune.com/all/14-Agnus%20Dei-ABS.mp3
71,38685,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/0/american_bach_soloists-joseph_haydn__masses-09-benedictus__allegro_moderato-30-59.mp3,9,Benedictus - Allegro moderato,American Bach Soloists,Joseph Haydn - Masses,http://www.magnatune.com/artists/albums/abs-haydnmasses/,30,59,http://he3.magnatune.com/all/09-Benedictus%20-%20Allegro%20moderato-ABS.mp3
73,47853,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/0/american_bach_soloists-joseph_haydn__masses-12-dona_nobis__allegro_vivace-88-117.mp3,12,Dona nobis - Allegro vivace,American Bach Soloists,Joseph Haydn - Masses,http://www.magnatune.com/artists/albums/abs-haydnmasses/,88,117,http://he3.magnatune.com/all/12-Dona%20nobis%20-%20Allegro%20vivace-ABS.mp3
79,55013,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/0/american_bach_soloists-joseph_haydn__masses-18-agnus_dei__adagio-30-59.mp3,18,Agnus Dei - Adagio,American Bach Soloists,Joseph Haydn - Masses,http://www.magnatune.com/artists/albums/abs-haydnmasses/,30,59,http://he3.magnatune.com/all/18-Agnus%20Dei%20-%20Adagio-ABS.mp3
93,17104,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/f/american_baroque-the_four_seasons_by_vivaldi-04-concerto_no_2_in_g_minor_rv_315_summer__allegro_non_molto-204-233.mp3,4,Concerto No.2 in g minor RV 315 _SUMMER_ - Allegro non molto,American Baroque,The Four Seasons by Vivaldi,http://www.magnatune.com/artists/albums/abaroque-seasons/,204,233,http://he3.magnatune.com/all/04-Concerto%20No.2%20in%20g%20minor%20RV%20315%20_SUMMER_%20-%20Allegro%20non%20molto-American%20Baroque.mp3
113,48755,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/0/ammonite-reconnection-12-reconnection_outro-88-117.mp3,12,Reconnection (outro),Ammonite,Reconnection,http://www.magnatune.com/artists/albums/ammonite-recon/,88,117,http://he3.magnatune.com/all/12-Reconnection%20(outro)-Ammonite.mp3
127,27777,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/2/anup-embrace-06-life_glides-88-117.mp3,6,Life Glides,Anup,Embrace,http://www.magnatune.com/artists/albums/anup-embrace/,88,117,http://he3.magnatune.com/all/06-Life%20Glides-Anup.mp3
136,17926,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/0/apa_ya-apa_ya-04-hayi_sera-204-233.mp3,4,Hayi Sera,Apa Ya,Apa Ya,http://www.magnatune.com/artists/albums/headroom-apa/,204,233,http://he3.magnatune.com/all/04-Hayi%20Sera-Apa%20Ya.mp3
169,43523,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/a/asteria-soyes_loyal-10-of_a_rose_singe_we_lute_anon-88-117.mp3,10,Of A Rose Singe We (Lute) (anon),Asteria,Soyes Loyal,http://www.magnatune.com/artists/albums/asteria-soyes/,88,117,http://he3.magnatune.com/all/10-Of%20A%20Rose%20Singe%20We%20(Lute)%20(anon)-Asteria.mp3
200,28807,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/c/beatundercontrol-the_introduction-06-saturn_blues-204-233.mp3,6,Saturn Blues,Beatundercontrol,The Introduction,http://www.magnatune.com/artists/albums/beatunder-intro/,204,233,http://he3.magnatune.com/all/06-Saturn%20Blues-Beatundercontrol.mp3
