,clip_id,mp3_path,track_number,title,artist,album,url,segmentStart,segmentEnd,original_url
2551,15838,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/b/solar_cycle-sunlight-03-traveling-88-117.mp3,3,Traveling,Solar Cycle,Sunlight,http://www.magnatune.com/artists/albums/solarcycle-sunlight/,88,117,http://he3.magnatune.com/all/03-Traveling-Solar%20Cycle.mp3
2765,51870,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/9/the_wretch-ambulatory-14-sickness-0-29.mp3,14,Sickness,The Wretch,Ambulatory,http://www.magnatune.com/artists/albums/wretch-ambulatory/,0,29,http://he3.magnatune.com/all/14-Sickness-The%20Wretch.mp3
975,7324,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/f/ivilion-sartinal-02-fetheskol-30-59.mp3,2,Fetheskol,Ivilion,Sartinal,http://www.magnatune.com/artists/albums/ivilion-sartinal/,30,59,http://he3.magnatune.com/all/02-Fetheskol-Ivilion.mp3
2141,13563,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/f/paul_berget-sl_weiss_on_11_strings-03-linfidele_suite_sarabande-233-262.mp3,3,L'Infidele Suite (sarabande),Paul Berget,SL Weiss on 11 Strings,http://www.magnatune.com/artists/albums/berget-weiss11/,233,262,http://he3.magnatune.com/all/03-L'Infidele%20Suite%20(sarabande)-Paul%20Berget.mp3
1668,52867,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/d/kitka-wintersongs-15-ma_navu_israel-88-117.mp3,15,Ma Navu (Israel),Kitka,Wintersongs,http://www.magnatune.com/artists/albums/kitka-wintersongs/,88,117,http://he3.magnatune.com/all/15-Ma%20Navu%20(Israel)-Kitka.mp3
381,27766,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/0/chris_harvey-the_white_sail-06-liber_null__part_2-30-59.mp3,6,Liber Null - Part 2,Chris Harvey,The White Sail,http://www.magnatune.com/artists/albums/harvey-wsail/,30,59,http://he3.magnatune.com/all/06-Liber%20Null%20-%20Part%202-Chris%20Harvey.mp3
319,29666,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/3/c__layne-potemkin_villages-06-thinking_of_you-30-59.mp3,6,Thinking of you,C. Layne,Potemkin Villages,http://www.magnatune.com/artists/albums/clayne-potemkin/,30,59,http://he3.magnatune.com/all/06-Thinking%20of%20you-C.%20Layne.mp3
2759,35688,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/9/the_wretch-ambulatory-08-harnessed-0-29.mp3,8,Harnessed,The Wretch,Ambulatory,http://www.magnatune.com/artists/albums/wretch-ambulatory/,0,29,http://he3.magnatune.com/all/08-Harnessed-The%20Wretch.mp3
2290,16839,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/5/rapoon-fallen_gods-04-breathing_gold-262-291.mp3,4,Breathing Gold,Rapoon,Fallen Gods,http://www.magnatune.com/artists/albums/rapoon-fallen/,262,291,http://he3.magnatune.com/all/04-Breathing%20Gold-Rapoon.mp3
1235,48640,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/4/jami_sieber-hidden_sky-12-prayer_2-117-146.mp3,12,Prayer 2,Jami Sieber,Hidden Sky,http://www.magnatune.com/artists/albums/sieber-hidden/,117,146,http://he3.magnatune.com/all/12-Prayer%202-Jami%20Sieber.mp3
1781,58801,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/f/magnaloops-electronica_loops_1-43-osxivilion554-0-29.mp3,43,OS-x-ivilion-554,MagnaLoops,Electronica Loops 1,http://www.magnatune.com/artists/albums/magnaloops-electronica1/,0,29,http://he3.magnatune.com/all/43-OS-x-ivilion-554-MagnaLoops.mp3
870,53371,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/6/farallon_recorder_quartet-ludwig_senfl-15-unsaglich_schmerz-0-29.mp3,15,Unsaglich Schmerz,Farallon Recorder Quartet,Ludwig Senfl,http://www.magnatune.com/artists/albums/farallon-senfl/,0,29,http://he3.magnatune.com/all/15-Unsaglich%20Schmerz-Farallon%20Recorder%20Quartet.mp3
625,35452,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/6/ed_martin-luis_milan__el_maestro-08-fantasia_8-30-59.mp3,8,Fantasia 8,Ed Martin,Luis Milan - El Maestro,http://www.magnatune.com/artists/albums/martin-luismilan/,30,59,http://he3.magnatune.com/all/08-Fantasia%208-Ed%20Martin.mp3
1238,11439,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/2/jami_sieber-lush_mechanique-03-all_she_can_carry-204-233.mp3,3,All She Can Carry,Jami Sieber,Lush Mechanique,http://www.magnatune.com/artists/albums/sieber-lush/,204,233,http://he3.magnatune.com/all/03-All%20She%20Can%20Carry-Jami%20Sieber.mp3
987,28749,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/8/ivilion-terean-06-sancretal-59-88.mp3,6,Sancretal,Ivilion,Terean,http://www.magnatune.com/artists/albums/ivilion-terean/,59,88,http://he3.magnatune.com/all/06-Sancretal-Ivilion.mp3
2285,35015,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/5/rapoon-cidar-08-cimbala-378-407.mp3,8,Cimbala,Rapoon,Cidar,http://www.magnatune.com/artists/albums/rapoon-cidar/,378,407,http://he3.magnatune.com/all/08-Cimbala-Rapoon.mp3
